ts;te;td;sa;da;sp;dp;pr;flg;ipkt;ibyt
11/01/13 07:47;01/03/13 23:50;4.294.967.294;10.1.1.10;184.24.68.42;53204;443;TCP;.A....;1;46
11/01/13 07:47;01/03/13 23:50;4.294.967.294;184.24.68.42;10.1.1.10;443;53204;TCP;.AP..F;2;117
01/03/13 23:50;01/03/13 23:50;0.000;10.1.1.111;10.1.1.255;138;138;UDP;......;1;229
11/01/13 07:47;01/03/13 23:50;4.294.967.266;10.1.1.10;177.21.244.27;9099;80;TCP;.A..SF;4;186
11/01/13 07:47;01/03/13 23:50;4.294.967.266;177.21.244.27;10.1.1.10;80;9099;TCP;.A..SF;3;128
11/01/13 07:47;01/03/13 23:50;4.294.967.146;10.1.1.10;177.21.244.27;6440;80;TCP;.A..SF;4;186
11/01/13 07:47;01/03/13 23:50;4.294.967.146;177.21.244.27;10.1.1.10;80;6440;TCP;.A..SF;2;88
01/03/13 23:50;01/03/13 23:50;0.000;10.1.1.23;10.1.1.255;138;138;UDP;......;1;229
11/01/13 07:47;01/03/13 23:50;4.294.967.268;10.1.1.10;177.21.244.27;9486;80;TCP;.A..SF;4;186
11/01/13 07:47;01/03/13 23:50;4.294.967.268;177.21.244.27;10.1.1.10;80;9486;TCP;.A..SF;2;88
11/01/13 07:47;01/03/13 23:50;4.294.959.363;10.1.1.15;189.26.167.140;8080;56037;TCP;.AP.SF;12;9568
11/01/13 07:47;01/03/13 23:50;4.294.959.363;189.26.167.140;10.1.1.15;56037;8080;TCP;.AP.SF;10;1502
11/01/13 07:47;01/03/13 23:50;4.294.967.268;10.1.1.10;177.21.244.27;63169;80;TCP;.A..SF;4;186
11/01/13 07:47;01/03/13 23:50;4.294.967.268;177.21.244.27;10.1.1.10;80;63169;TCP;.A..SF;2;88
11/01/13 07:50;01/03/13 23:53;4.294.950.855;10.1.1.15;187.187.141.237;8080;52137;TCP;.A..S.;2;98
11/01/13 07:50;01/03/13 23:53;4.294.950.855;187.187.141.237;10.1.1.15;52137;8080;TCP;.APRS.;4;613
11/01/13 07:47;01/03/13 23:50;4.294.967.265;10.1.1.10;177.21.244.27;20876;80;TCP;.A..SF;4;186
11/01/13 07:47;01/03/13 23:50;4.294.967.265;177.21.244.27;10.1.1.10;80;20876;TCP;.A..SF;3;128
11/01/13 07:47;01/03/13 23:50;4.294.967.265;10.1.1.10;177.21.244.27;48156;80;TCP;.A..SF;4;186
11/01/13 07:47;01/03/13 23:50;4.294.967.265;177.21.244.27;10.1.1.10;80;48156;TCP;.A..SF;2;88
11/01/13 07:47;01/03/13 23:50;4.294.967.258;10.1.1.29;187.49.33.11;123;123;UDP;......;1;76
11/01/13 07:47;01/03/13 23:50;4.294.967.258;187.49.33.11;10.1.1.29;123;123;UDP;......;1;76
11/01/13 07:47;01/03/13 23:50;4.294.967.265;10.1.1.10;177.21.244.27;19443;80;TCP;.A..SF;4;186
11/01/13 07:47;01/03/13 23:50;4.294.967.265;177.21.244.27;10.1.1.10;80;19443;TCP;.A..SF;3;128
11/01/13 07:47;01/03/13 23:50;4.294.967.139;10.1.1.10;177.21.244.27;29768;80;TCP;.A..SF;4;186
11/01/13 07:47;01/03/13 23:50;4.294.967.139;177.21.244.27;10.1.1.10;80;29768;TCP;.A..SF;2;88
11/01/13 07:47;01/03/13 23:50;4.294.967.267;10.1.1.10;177.21.244.27;5513;80;TCP;.A..SF;4;186
11/01/13 07:47;01/03/13 23:50;4.294.967.267;177.21.244.27;10.1.1.10;80;5513;TCP;.A..SF;2;88
11/01/13 07:52;01/03/13 23:50;4.294.669.138;10.1.1.10;200.19.73.231;10546;5246;UDP;......;36;7815
11/01/13 07:52;01/03/13 23:50;4.294.669.138;200.19.73.231;10.1.1.10;5246;10546;UDP;......;36;4356
11/01/13 07:48;01/03/13 23:50;4.294.940.449;10.1.1.15;187.59.48.42;8080;56831;TCP;.AP.SF;21;17579
11/01/13 07:48;01/03/13 23:50;4.294.940.449;187.59.48.42;10.1.1.15;56831;8080;TCP;.AP.SF;15;3602
11/01/13 07:48;01/03/13 23:50;4.294.940.175;10.1.1.15;187.59.48.42;8080;56834;TCP;.AP.SF;7;2772
11/01/13 07:48;01/03/13 23:50;4.294.940.175;187.59.48.42;10.1.1.15;56834;8080;TCP;.AP.SF;7;894
11/01/13 07:48;01/03/13 23:50;4.294.951.571;10.1.1.15;187.59.48.42;8080;56835;TCP;.A..SF;3;172
11/01/13 07:48;01/03/13 23:50;4.294.951.571;187.59.48.42;10.1.1.15;56835;8080;TCP;.A..SF;5;280
11/01/13 07:47;01/03/13 23:50;4.294.967.267;10.1.1.10;177.21.244.27;64980;80;TCP;.A..SF;4;186
11/01/13 07:47;01/03/13 23:50;4.294.967.267;177.21.244.27;10.1.1.10;80;64980;TCP;.A..SF;3;128
11/01/13 07:48;01/03/13 23:50;4.294.967.268;10.1.1.10;177.21.244.27;59871;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:50;4.294.967.268;177.21.244.27;10.1.1.10;80;59871;TCP;.A..SF;2;88
11/01/13 07:48;01/03/13 23:50;4.294.941.989;10.1.1.15;187.59.48.42;8080;56832;TCP;.A..SF;4;224
11/01/13 07:48;01/03/13 23:50;4.294.941.989;187.59.48.42;10.1.1.15;56832;8080;TCP;.A..SF;5;280
11/01/13 07:48;01/03/13 23:50;4.294.941.990;10.1.1.15;187.59.48.42;8080;56833;TCP;.A..SF;4;224
11/01/13 07:48;01/03/13 23:50;4.294.941.990;187.59.48.42;10.1.1.15;56833;8080;TCP;.A..SF;5;280
11/01/13 07:48;01/03/13 23:50;4.294.941.958;10.1.1.15;187.59.48.42;8080;56836;TCP;.A..SF;4;224
11/01/13 07:48;01/03/13 23:50;4.294.941.958;187.59.48.42;10.1.1.15;56836;8080;TCP;.A..SF;5;280
11/01/13 07:48;01/03/13 23:50;4.294.917.258;10.1.1.10;200.19.73.231;60104;5247;UDP;......;5;1167
11/01/13 07:48;01/03/13 23:50;4.294.967.265;10.1.1.10;177.21.244.27;1996;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:50;4.294.967.265;177.21.244.27;10.1.1.10;80;1996;TCP;.A..SF;2;88
11/01/13 07:48;01/03/13 23:50;4.294.967.267;10.1.1.10;177.21.244.27;1115;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:50;4.294.967.267;177.21.244.27;10.1.1.10;80;1115;TCP;.A..SF;2;88
11/01/13 07:48;01/03/13 23:50;4.294.967.146;10.1.1.10;177.21.244.27;54130;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:50;4.294.967.146;177.21.244.27;10.1.1.10;80;54130;TCP;.A..SF;2;88
11/01/13 07:48;01/03/13 23:50;4.294.966.633;10.1.1.15;187.171.168.51;8080;51318;TCP;.AP.SF;5;543
11/01/13 07:48;01/03/13 23:50;4.294.966.633;187.171.168.51;10.1.1.15;51318;8080;TCP;.AP.SF;5;742
11/01/13 07:48;01/03/13 23:50;4.294.967.268;10.1.1.10;177.21.244.27;13488;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:50;4.294.967.268;177.21.244.27;10.1.1.10;80;13488;TCP;.A..SF;2;88
11/01/13 07:48;01/03/13 23:50;4.294.967.267;10.1.1.10;177.21.244.27;38639;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:50;4.294.967.267;177.21.244.27;10.1.1.10;80;38639;TCP;.A..SF;3;128
11/01/13 07:48;01/03/13 23:51;4.294.967.268;10.1.1.10;177.21.244.27;21677;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:51;4.294.967.268;177.21.244.27;10.1.1.10;80;21677;TCP;.A..SF;2;88
11/01/13 07:48;01/03/13 23:51;4.294.967.282;10.1.1.10;187.59.4.155;40423;53;UDP;......;1;68
11/01/13 07:48;01/03/13 23:51;4.294.967.282;187.59.4.155;10.1.1.10;53;40423;UDP;......;1;84
11/01/13 07:48;01/03/13 23:51;4.294.966.767;10.1.1.10;23.44.84.42;24318;443;TCP;.AP.S.;8;947
11/01/13 07:48;01/03/13 23:51;4.294.966.767;23.44.84.42;10.1.1.10;443;24318;TCP;.AP.S.;9;5912
11/01/13 07:53;01/03/13 23:51;4.294.666.947;10.1.1.10;200.134.31.2;13923;5060;UDP;......;11;3597
11/01/13 07:53;01/03/13 23:51;4.294.666.947;200.134.31.2;10.1.1.10;5060;13923;UDP;......;11;3388
01/03/13 23:51;01/03/13 23:51;0.000;10.1.1.10;200.144.121.33;40054;123;UDP;......;1;76
11/01/13 07:48;01/03/13 23:51;4.294.967.293;10.1.1.10;184.24.68.42;55124;443;TCP;.A....;1;46
11/01/13 07:48;01/03/13 23:51;4.294.967.293;184.24.68.42;10.1.1.10;443;55124;TCP;.AP..F;2;117
11/01/13 07:48;01/03/13 23:51;4.294.967.265;10.1.1.10;177.21.244.27;17736;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:51;4.294.967.265;177.21.244.27;10.1.1.10;80;17736;TCP;.A..SF;2;88
01/03/13 23:51;01/03/13 23:51;0.000;10.1.1.10;200.19.73.231;41544;12223;UDP;......;1;75
11/01/13 07:48;01/03/13 23:51;4.294.967.293;10.1.1.10;184.24.68.42;3627;443;TCP;.A....;1;46
11/01/13 07:48;01/03/13 23:51;4.294.967.293;184.24.68.42;10.1.1.10;443;3627;TCP;.AP..F;2;117
11/01/13 07:48;01/03/13 23:51;4.294.967.293;10.1.1.10;184.24.68.42;32146;443;TCP;.A....;1;46
11/01/13 07:48;01/03/13 23:51;4.294.967.293;184.24.68.42;10.1.1.10;443;32146;TCP;.AP..F;2;117
11/01/13 07:48;01/03/13 23:51;4.294.967.181;10.1.1.26;200.19.73.101;38049;636;TCP;.AP.SF;17;2175
11/01/13 07:48;01/03/13 23:51;4.294.967.181;200.19.73.101;10.1.1.26;636;38049;TCP;.AP.SF;16;4005
11/01/13 07:48;01/03/13 23:51;4.294.967.293;10.1.1.10;184.24.68.42;11649;443;TCP;.A....;1;46
11/01/13 07:48;01/03/13 23:51;4.294.967.293;184.24.68.42;10.1.1.10;443;11649;TCP;.AP..F;2;117
11/01/13 07:48;01/03/13 23:51;4.294.967.264;10.1.1.10;177.21.244.27;36472;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:51;4.294.967.264;177.21.244.27;10.1.1.10;80;36472;TCP;.A..SF;2;88
11/01/13 07:48;01/03/13 23:51;4.294.967.145;10.1.1.10;177.21.244.27;65405;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:51;4.294.967.145;177.21.244.27;10.1.1.10;80;65405;TCP;.A..SF;3;128
01/03/13 23:51;01/03/13 23:51;0.000;10.1.1.10;200.19.73.231;29720;12223;UDP;......;1;75
11/01/13 07:48;01/03/13 23:51;4.294.967.267;10.1.1.10;177.21.244.27;16914;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:51;4.294.967.267;177.21.244.27;10.1.1.10;80;16914;TCP;.A..SF;2;88
11/01/13 07:51;01/03/13 23:54;4.294.967.254;10.1.1.10;177.21.244.27;51934;80;TCP;.A..SF;5;232
11/01/13 07:51;01/03/13 23:54;4.294.967.254;177.21.244.27;10.1.1.10;80;51934;TCP;.A.RSF;4;168
11/01/13 07:48;01/03/13 23:51;4.294.954.641;10.1.1.15;177.3.68.5;8080;51664;TCP;.AP.SF;10;8862
11/01/13 07:48;01/03/13 23:51;4.294.954.641;177.3.68.5;10.1.1.15;51664;8080;TCP;.AP.SF;8;900
11/01/13 07:48;01/03/13 23:51;4.294.967.267;10.1.1.10;177.21.244.27;28003;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:51;4.294.967.267;177.21.244.27;10.1.1.10;80;28003;TCP;.A..SF;2;88
11/01/13 07:48;01/03/13 23:51;4.294.967.267;10.1.1.10;177.21.244.27;15193;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:51;4.294.967.267;177.21.244.27;10.1.1.10;80;15193;TCP;.A..SF;3;128
11/01/13 07:48;01/03/13 23:51;4.294.967.266;10.1.1.10;177.21.244.27;21574;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:51;4.294.967.266;177.21.244.27;10.1.1.10;80;21574;TCP;.A..SF;2;88
11/01/13 07:48;01/03/13 23:51;4.294.967.295;10.1.1.26;200.19.73.110;161;33099;UDP;......;1;83
11/01/13 07:48;01/03/13 23:51;4.294.967.295;200.19.73.110;10.1.1.26;33099;161;UDP;......;1;73
11/01/13 07:53;01/03/13 23:51;4.294.689.173;10.1.1.10;199.47.218.149;42084;80;TCP;.AP...;6;1932
11/01/13 07:53;01/03/13 23:51;4.294.689.173;199.47.218.149;10.1.1.10;80;42084;TCP;.AP...;12;1554
11/01/13 07:48;01/03/13 23:51;4.294.967.265;10.1.1.10;177.21.244.27;55122;80;TCP;.A..SF;4;186
11/01/13 07:48;01/03/13 23:51;4.294.967.265;177.21.244.27;10.1.1.10;80;55122;TCP;.A..SF;3;128
11/01/13 07:49;01/03/13 23:51;4.294.967.266;10.1.1.10;177.21.244.27;31914;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:51;4.294.967.266;177.21.244.27;10.1.1.10;80;31914;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:51;4.294.967.269;10.1.1.10;177.21.244.27;20958;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:51;4.294.967.269;177.21.244.27;10.1.1.10;80;20958;TCP;.A..SF;2;88
11/01/13 07:52;01/03/13 23:54;4.294.966.558;10.1.1.22;202.46.55.26;80;19006;TCP;.AP.SF;6;5483
11/01/13 07:52;01/03/13 23:54;4.294.966.558;202.46.55.26;10.1.1.22;19006;80;TCP;.APRS.;8;493
11/01/13 07:49;01/03/13 23:51;4.294.967.268;10.1.1.10;177.21.244.27;60796;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:51;4.294.967.268;177.21.244.27;10.1.1.10;80;60796;TCP;.A..SF;2;88
11/01/13 07:54;01/03/13 23:52;4.294.656.365;10.1.1.121;200.20.186.76;3670;123;UDP;......;3;228
11/01/13 07:54;01/03/13 23:52;4.294.656.365;200.20.186.76;10.1.1.121;123;3670;UDP;......;3;228
11/01/13 07:54;01/03/13 23:52;4.294.666.947;10.1.1.10;200.134.31.2;53068;5060;UDP;......;11;3597
11/01/13 07:54;01/03/13 23:52;4.294.666.947;200.134.31.2;10.1.1.10;5060;53068;UDP;......;11;3388
11/01/13 07:49;01/03/13 23:52;4.294.967.265;10.1.1.10;177.21.244.27;5998;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.265;177.21.244.27;10.1.1.10;80;5998;TCP;.A..SF;3;128
01/03/13 23:52;01/03/13 23:52;0.000;10.1.1.1;10.1.1.111;67;68;UDP;......;1;328
01/03/13 23:52;01/03/13 23:52;0.000;10.1.1.111;10.1.1.1;68;67;UDP;......;1;328
11/01/13 07:49;01/03/13 23:52;4.294.967.267;10.1.1.10;177.21.244.27;51335;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.267;177.21.244.27;10.1.1.10;80;51335;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.148;10.1.1.10;177.21.244.27;54547;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.148;177.21.244.27;10.1.1.10;80;54547;TCP;.A..SF;2;88
11/01/13 07:52;01/03/13 23:55;4.294.967.253;10.1.1.10;177.126.184.50;43549;443;TCP;.A..SF;3;144
11/01/13 07:52;01/03/13 23:55;4.294.967.253;177.126.184.50;10.1.1.10;443;43549;TCP;.A.RS.;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.268;10.1.1.10;177.21.244.27;26629;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.268;177.21.244.27;10.1.1.10;80;26629;TCP;.A..SF;3;128
11/01/13 07:49;01/03/13 23:52;4.294.967.268;10.1.1.10;177.21.244.27;56968;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.268;177.21.244.27;10.1.1.10;80;56968;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.268;10.1.1.10;177.21.244.27;6285;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.268;177.21.244.27;10.1.1.10;80;6285;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.073;10.1.1.10;193.108.88.194;41162;53;UDP;......;1;68
11/01/13 07:49;01/03/13 23:52;4.294.967.073;193.108.88.194;10.1.1.10;53;41162;UDP;......;1;84
11/01/13 07:49;01/03/13 23:52;4.294.966.708;10.1.1.10;23.10.52.42;37650;443;TCP;.AP.S.;8;947
11/01/13 07:49;01/03/13 23:52;4.294.966.708;23.10.52.42;10.1.1.10;443;37650;TCP;.AP.S.;9;5912
11/01/13 07:49;01/03/13 23:52;4.294.967.264;10.1.1.10;177.21.244.27;21839;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.264;177.21.244.27;10.1.1.10;80;21839;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.267;10.1.1.10;177.21.244.27;15399;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.267;177.21.244.27;10.1.1.10;80;15399;TCP;.A..SF;3;128
11/01/13 07:52;01/03/13 23:55;4.294.956.295;10.1.1.15;77.232.128.123;8080;50573;TCP;.A..S.;2;98
11/01/13 07:52;01/03/13 23:55;4.294.956.295;77.232.128.123;10.1.1.15;50573;8080;TCP;.APRS.;4;375
11/01/13 07:49;01/03/13 23:52;4.294.967.146;10.1.1.10;177.21.244.27;62604;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.146;177.21.244.27;10.1.1.10;80;62604;TCP;.A..SF;2;88
01/03/13 23:52;01/03/13 23:52;0.000;10.1.1.10;200.19.73.231;56590;5247;UDP;......;1;154
11/01/13 07:49;01/03/13 23:52;4.294.967.267;10.1.1.10;177.21.244.27;31750;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.267;177.21.244.27;10.1.1.10;80;31750;TCP;.A..SF;3;128
11/01/13 07:50;01/03/13 23:52;4.294.930.827;10.1.1.10;200.19.73.231;48264;5247;UDP;......;2;800
11/01/13 07:49;01/03/13 23:52;4.294.967.267;10.1.1.10;177.21.244.27;45254;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.267;177.21.244.27;10.1.1.10;80;45254;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.268;10.1.1.10;177.21.244.27;5369;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.268;177.21.244.27;10.1.1.10;80;5369;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.266;10.1.1.10;177.21.244.27;12477;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.266;177.21.244.27;10.1.1.10;80;12477;TCP;.A..SF;3;128
11/01/13 07:49;01/03/13 23:52;4.294.967.265;10.1.1.10;177.21.244.27;4362;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.265;177.21.244.27;10.1.1.10;80;4362;TCP;.A..SF;3;128
11/01/13 07:52;01/03/13 23:55;4.294.956.899;10.1.1.15;187.171.168.51;8080;61132;TCP;.AP.SF;4;663
11/01/13 07:52;01/03/13 23:55;4.294.956.899;187.171.168.51;10.1.1.15;61132;8080;TCP;.APRSF;5;789
11/01/13 07:52;01/03/13 23:55;4.294.966.583;10.1.1.22;119.63.193.130;80;29006;TCP;.AP.SF;6;5483
11/01/13 07:52;01/03/13 23:55;4.294.966.583;119.63.193.130;10.1.1.22;29006;80;TCP;.APRS.;8;493
11/01/13 07:49;01/03/13 23:52;4.294.967.151;10.1.1.10;177.21.244.27;10497;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.151;177.21.244.27;10.1.1.10;80;10497;TCP;.A..SF;2;88
11/01/13 07:49;01/03/13 23:52;4.294.967.266;10.1.1.10;177.21.244.27;57472;80;TCP;.A..SF;4;186
11/01/13 07:49;01/03/13 23:52;4.294.967.266;177.21.244.27;10.1.1.10;80;57472;TCP;.A..SF;3;128
11/01/13 07:49;01/03/13 23:52;4.294.967.268;10.1.1.10;177.21.244.27;23140;80;TCP;.A..SF;4;186
